Position,Hangul,IPA_Pronunciation,Word_Type,TOPIK_Level,Definition,Example_Sentence,Example_Sentence_IPA,Example_Sentence_Translation,Usage_Hint,Frequency,Frequency_Number,Verified,Quality_Score,HSK_Compliance,Processed,Reasoning_Tokens,Total_Tokens,O4_Error
3613,묻지,mut̚.tɕi,verb,2,ask,이름을 묻지 않아도 됩니다.,i.ɾɯm.ɯl mut̚.tɕi an.a.to twep̚.ni.ta,You don't have to ask someone's name.,"Used in negative constructions (e.g., 묻지 않다, 묻지 마세요) to mean 'not ask'.",3613,176,True,Accurate and concise analysis,False,True,1664,2402,
3614,핸드폰,hɛn.tɯ.pʰon,noun,4,cell phone,저는 새 핸드폰을 샀어요.,tɕʌ.nɯn sɛ hɛn.tɯ.pʰon.ɯl sat̚.ʌ.jo,I bought a new cell phone.,Common loanword for mobile phone used in everyday Korean in both speech and writing.,3614,176,True,"Clear and accurate, suitable for learners.",False,True,1216,1953,
3615,모르게,mo.ɾɯ.ke,adverb,4,unknowingly,엄마가 모르게 생일 선물을 준비했어요.,ʌm.ma.ka mo.ɾɯ.ke sɛŋ.il sʌn.mul.ɯl tɕun.pi.hɛt̚.ʌ.jo,I prepared a birthday gift without my mother knowing.,Adverbial form of 모르다 indicating an action done 'without knowing'; common in spoken and written Korean; attaches to verb stems.,3615,176,True,Clear entry with appropriate example and usage context.,False,True,1216,1963,
3616,멍청아,mʌŋ.tɕʰʌŋ.a,noun,4,idiot,"멍청아, 조심 좀 해.",mʌŋ.tɕʰʌŋ.a tɕo.sim tɕom hɛ,"You idiot, be careful.","Informal vocative insult using -아, common in casual speech among close acquaintances.",3616,176,True,Accurate definition and usage; includes appropriate example and context.,False,True,1408,2155,
3617,준비하고,tɕun.pi.ha.ko,verb,2,prepare,저는 내일 회의를 준비하고 있어요.,tɕʌ.nɯn nɛ.il hwe.ɰi.ɾɯl tɕun.pi.ha.ko it̚.ʌ.jo,I am preparing for tomorrow's meeting.,"Connective form of the verb '준비하다', used to link actions or to form the progressive tense with 있어요",3617,176,True,Accurate identification of verb form and usage,False,True,704,1445,
3618,유카와,ju.kʰa.wa,noun,4,Yukawa,유카와 이론은 핵물리학에서 중요하다.,ju.kʰa.wa i.ɾon.ɯn hɛk̚.mul.ɾi.hak̚.e.sʌ tɕuŋ.jo.ha.ta,The Yukawa theory is important in nuclear physics.,"Used as a proper noun referring to Yukawa, often in scientific contexts.",3618,176,False,Low frequency proper noun with specialized usage,False,True,896,1634,
3619,처리할,tɕʰʌ.ɾi.hal,verb,4,handle,오늘 처리할 서류가 많아요.,o.nɯl tɕʰʌ.ɾi.hal sʌ.ɾju.ka man.a.jo,I have a lot of documents to process today.,"Attributive form of the verb meaning handle or process, used before nouns; common in both formal and informal contexts.",3619,176,True,Clear and accurate,False,True,1344,2088,
3620,정말이에요,tɕʌŋ.mal.i.e.jo,verb,4,really,이게 정말이에요?,i.ke tɕʌŋ.mal.i.e.jo,Is this for real?,"Polite copula form of the noun meaning really, used to confirm truth or express surprise in everyday speech",3620,176,True,Good quality: accurate and natural usage,False,True,2432,3172,
3621,뜻이지,t͈ɯt̚.i.tɕi,noun,4,meaning,그 말은 네가 나를 싫어한다는 뜻이지.,kɯ mal.ɯn ne.ka na.ɾɯl sil.ʌ.han.ta.nɯn t͈ɯt̚.i.tɕi,That means you dislike me.,Casual speech; used after a noun to confirm or clarify its meaning in colloquial contexts,3621,176,True,Accurate and concise entry with appropriate detail,False,True,2176,2921,
3622,비싼,pi.s͈an,adjective,1,expensive,이 가방은 너무 비싸요.,i ka.paŋ.ɯn nʌ.mu pi.s͈a.jo,This bag is too expensive.,Common attributive adjective used before nouns in polite speech,3622,176,True,Accurate and concise entry,False,True,704,1421,
3623,잃게,il.ke,verb,4,to lose,너무 많이 사서 돈을 잃게 됐어.,nʌ.mu man.i sa.sʌ ton.ɯl il.ke twɛt̚.ʌ,I ended up losing money because I bought too much.,"Connective form of the verb 잃다 with -게 되다 to indicate a change of state, common in spoken Korean",3623,176,False,"The analysis corrects the word class and meaning, identifying 잃게 as a verb connective form rather than a noun.",False,True,1216,1969,
3624,허,hʌ,noun,6,permit,이 단어 '허'는 독립적으로 사용되지 않는다.,i tan.ʌ hʌ nɯn tok̚.ɾip̚.tɕʌk̚.ɯ.ɾo sa.joŋ.twe.tɕi an.nɯn.ta,The word '허' is not used independently.,"Bound root from Sino-Korean, appears only in compounds like 허가 (permission), not standalone",3624,176,False,Rare bound form; limited usage; root only used in compounds,False,True,2048,2780,
3625,올거야,ol.kʌ.ja,verb,2,will come,난 내일 학교에 올거야.,nan nɛ.il hak̚.kjo.e ol.kʌ.ja,I'll come to school tomorrow.,"Informal future tense form of to come, used in casual speech; a contracted future form.",3625,176,True,Accurate and thorough.,False,True,1984,2709,
3626,잡는,tɕap̚.nɯn,verb,4,to catch,고양이가 쥐를 잡는 모습은 귀엽다.,ko.jaŋ.i.ka tɕwi.ɾɯl tɕap̚.nɯn mo.sɯp̚.ɯn kwi.jʌp̚.ta,The way the cat catches mice is cute.,Present attributive form of the verb 잡다; used before a noun to indicate the one that catches,3626,175,True,Accurate and appropriate usage,False,True,1024,1768,
3627,벽,pjʌk̚,noun,4,wall,벽에 그림을 걸었다.,pjʌk̚.e kɯ.ɾim.ɯl kʌl.ʌt̚.ta,I hung a painting on the wall.,"Refers to the physical walls of rooms or buildings, common in everyday speech and writing.",3627,175,True,Accurate and meets frequency-based criteria,False,True,960,1684,
3628,부탁해,pu.tʰak̚.hɛ,verb,2,ask a favor,이 일 좀 부탁해.,i il tɕom pu.tʰak̚.hɛ,Please take care of this task.,Informal polite present tense of 부탁하다 used in casual speech among friends or colleagues.,3628,175,True,Accurate identification as a verb with correct IPA and appropriate usage context.,False,True,1984,2722,
3629,눈은,nun.ɯn,noun,4,eye,눈은 얼굴의 일부입니다.,nun.ɯn ʌl.kul.ɰi il.pu.ip̚.ni.ta,The eyes are part of the face.,Topic particle 'eun' is attached to 'nun' to mark it as the topic in a neutral/formal sentence.,3629,175,True,Clear and accurate usage.,False,True,1216,1941,
3630,배고파,pɛ.ko.pʰa,adjective,1,hungry,지금 너무 배고파.,tɕi.kɯm nʌ.mu pɛ.ko.pʰa,I'm so hungry right now.,"Informal present tense of '배고프다', used in casual speech to express hunger.",3630,175,True,Accurate and concise,False,True,768,1498,
3631,주로,tɕu.ɾo,adverb,4,mainly,저는 주로 아침에 운동해요.,tɕʌ.nɯn tɕu.ɾo a.tɕʰim.e un.toŋ.hɛ.jo,I mainly exercise in the morning.,"Adverb indicating the primary manner or cause, neutral style used in both spoken and written Korean.",3631,175,True,Accurate and concise analysis of a common adverb.,False,True,512,1249,
3632,저것,tɕʌ.kʌt̚,pronoun,4,that thing,저것이 뭐예요?,tɕʌ.kʌt̚.i mwʌ.je.jo,What is that?,Demonstrative pronoun for objects far from both speaker and listener,3632,175,True,Standard demonstrative usage,False,True,832,1559,
3633,놔두고,nwa.tu.ko,verb,4,leave,핸드폰을 집에 놔두고 왔어요.,hɛn.tɯ.pʰon.ɯl tɕip̚.e nwa.tu.ko wat̚.ʌ.jo,I left my phone at home.,"Contracted form of 'noha dugo' (to leave something as is), common in informal spoken Korean",3633,175,True,Accurate and thorough analysis,False,True,1600,2337,
3634,남자들은,nam.tɕa.tɯl.ɯn,noun,4,men,남자들은 축구를 좋아해요.,nam.tɕa.tɯl.ɯn tɕʰuk̚.ku.ɾɯl tɕot̚.a.hɛ.jo,Men like soccer.,"Plural noun with topic marker, indicates 'men' as the topic in neutral speech.",3634,175,True,Accurate and clear entry.,False,True,1088,1824,
3635,구멍을,ku.mʌŋ.ɯl,noun,4,hole,물이 구멍을 통해 새고 있다.,mul.i ku.mʌŋ.ɯl tʰoŋ.hɛ sɛ.ko it̚.ta,Water is leaking through a hole.,Used with the object marker to mark hole as the direct object in both formal and informal contexts.,3635,175,True,Accurate and clear analysis of the word’s usage and meaning.,False,True,1472,2214,
3636,했나요,hɛt̚.na.jo,verb,1,did,어제 보고서를 제출했나요?,ʌ.tɕe po.ko.sʌ.ɾɯl tɕe.tɕʰul.hɛt̚.na.jo,Did you submit the report yesterday?,polite past question ending for yes/no questions in spoken and written Korean,3636,175,True,Clear and accurate,False,True,704,1427,
3637,일만,il.man,noun,4,ten thousand,일만 원 주세요.,il.man wʌn tɕu.se.jo,Please give me ten thousand won.,"Used as a numeral indicating 10,000, commonly followed by counters like 원 (won) or 명 (people).",3637,175,True,Accurate and concise.,False,True,1216,1934,
3638,힘들,him.tɯl,adjective,2,difficult,요즘 일이 너무 힘들어요.,jo.tɕɯm il.i nʌ.mu him.tɯl.ʌ.jo,Work has been so difficult lately.,"Used as a descriptive verb to express difficulty or exhaustion, commonly conjugated with the -어요 ending in polite speech",3638,175,True,Accurate definition and example; high-frequency adjective,False,True,1600,2331,
3639,돈으로,ton.ɯ.ɾo,noun,2,with money,나는 돈으로 선물을 샀다.,na.nɯn ton.ɯ.ɾo sʌn.mul.ɯl sat̚.ta,I bought a gift with money.,Combination of the noun money and case particle 으로 to indicate means or instrument in both formal and informal contexts.,3639,175,True,Accurate definition and usage; clearly demonstrates instrumental case usage.,False,True,1344,2083,
3640,우연히,u.jʌn.hi,adverb,4,by chance,어제 길에서 친구를 우연히 만났어요.,ʌ.tɕe kil.e.sʌ tɕʰin.ku.ɾɯl u.jʌn.hi man.nat̚.ʌ.jo,I met my friend by chance on the street yesterday.,Describes unplanned or coincidental events; used in both formal and informal contexts,3640,175,True,Accurate and concise entry for an adverb.,False,True,1280,2020,
3641,시스템을,si.sɯ.tʰem.ɯl,noun,4,system,이 시스템을 사용해 보세요.,i si.sɯ.tʰem.ɯl sa.joŋ.hɛ po.se.jo,Please try using this system.,Used with the object marker to indicate 'system' as the direct object in everyday contexts,3641,175,True,Clear and accurate analysis,False,True,1088,1820,
3642,대위님,tɛ.wi.nim,noun,4,captain,"대위님, 질문 있습니다.",tɛ.wi.nim tɕil.mun it̚.sɯp̚.ni.ta,"Captain, I have a question.",Honorific title for a military captain used when addressing a commissioned officer.,3642,175,True,Clear and accurate linguistic analysis with appropriate example usage.,False,True,960,1682,
3643,애기,ɛ.ki,noun,4,baby,우리 집 애기가 울고 있어요.,u.ɾi tɕip̚ ɛ.ki.ka ul.ko it̚.ʌ.jo,My baby is crying.,"Colloquial dialect form of baby, used informally in casual speech.",3643,175,True,Accurate and appropriate analysis.,False,True,2304,3016,
3644,가져왔어요,ka.tɕjʌ.wat̚.ʌ.jo,verb,1,brought,제가 간식을 가져왔어요.,tɕe.ka kan.sik̚.ɯl ka.tɕjʌ.wat̚.ʌ.jo,I brought snacks.,Polite past tense of 가져오다 used in everyday polite speech,3644,175,True,Correct and natural usage in polite context,False,True,1024,1761,
3645,않는다는,an.nɯn.ta.nɯn,verb,5,that does not,그가 오지 않는다는 소식을 들었다.,kɯ.ka o.tɕi an.nɯn.ta.nɯn so.sik̚.ɯl tɯl.ʌt̚.ta,I heard that he does not come.,"Attributive form of the negative verb '않는다' combined with the quotation particle '다는', used in plain speech to report what someone does not do.",3645,174,True,Accurate identification of the negative verb ending and quotation usage.,False,True,1600,2356,
3646,없었는데,ʌp̚.ʌt̚.nɯn.te,verb,2,"wasn't, but",어제 시간이 없었는데 오늘은 시간이 있어요.,ʌ.tɕe si.kan.i ʌp̚.ʌt̚.nɯn.te o.nɯl.ɯn si.kan.i it̚.ʌ.jo,"I didn't have time yesterday, but I have time today.","Past tense connective form of 없다, used to express contrast or provide background information.",3646,174,True,Clear and accurate entry with appropriate example.,False,True,1344,2101,
3647,총이,tɕʰoŋ.i,noun,4,gun,이 총이 아주 강력하다.,i tɕʰoŋ.i a.tɕu kaŋ.ɾjʌk̚.ha.ta,This gun is very powerful.,Used with the subject marker 이 to mark the gun as the subject; common in neutral speech and writing,3647,174,True,Clear and accurate analysis,False,True,1088,1815,
3648,너희를,nʌ.hɰi.ɾɯl,pronoun,1,you (pl),나는 너희를 믿어.,na.nɯn nʌ.hɰi.ɾɯl mit̚.ʌ,I trust you guys.,"Informal plural object form of 'you', used in casual speech to address multiple people.",3648,174,True,Clear and accurate analysis.,False,True,1792,2528,
3649,말했듯이,mal.hɛt̚.tɯt̚.i,adverb,4,as I said,말했듯이 저는 내일부터 다이어트를 시작할 거예요.,mal.hɛt̚.tɯt̚.i tɕʌ.nɯn nɛ.il.pu.tʰʌ ta.i.ʌ.tʰɯ.ɾɯl si.tɕak̚.hal kʌ.je.jo,"As I said, I'm starting my diet from tomorrow.","Used to refer back to a previous statement, often at the beginning of a sentence in both spoken and written contexts.",3649,174,True,Accurate definition and usage example,False,True,1408,2169,
3650,네이단,ne.i.tan,noun,4,internal alchemy,네이단 수련은 도교의 전통적인 내공 수련 방법입니다.,ne.i.tan su.ɾjʌn.ɯn to.kjo.ɰi tɕʌn.tʰoŋ.tɕʌk̚.in nɛ.koŋ su.ɾjʌn paŋ.pʌp̚.ip̚.ni.ta,Neidan practice is a traditional internal cultivation method in Taoism.,Formal term used in Taoist contexts to denote internal alchemical practice,3650,174,False,Accurate representation of a specialized esoteric term,False,True,1408,2149,
3651,자식아,tɕa.sik̚.a,noun,4,child,"자식아, 이리 와 봐.",tɕa.sik̚.a i.ɾi wa pwa,"Kid, come here and see.",Informal vocative form used to call or scold someone younger,3651,174,True,Accurate analysis of vocative usage,False,True,1088,1820,
3652,무,mu,noun,2,radish,김치에는 무가 들어가요.,kim.tɕʰi.e.nɯn mu.ka tɯl.ʌ.ka.jo,Kimchi contains radish.,"Common noun for the vegetable radish, often used in cooking.",3652,174,True,Clear definition with a relevant example.,False,True,768,1477,
3653,조엘,tɕo.el,noun,4,Joel,조엘은 친절한 사람이다.,tɕo.el.ɯn tɕʰin.tɕʌl.han sa.ɾam.i.ta,Joel is a kind person.,"Used as a proper noun for a male given name, transcription of the English name 'Joel'.",3653,174,True,Accurate and complete analysis.,False,True,1344,2066,
3654,받으면,pat̚.ɯ.mjʌn,verb,2,if receives,선물을 받으면 정말 기뻐요.,sʌn.mul.ɯl pat̚.ɯ.mjʌn tɕʌŋ.mal ki.p͈ʌ.jo,I am really happy if I receive a gift.,Used to form conditional clauses ('if') with the verb 받다; common in both spoken and written Korean.,3654,174,True,Accurate and concise entry,False,True,1536,2279,
3655,사실대로,sa.sil.tɛ.ɾo,adverb,4,truthfully,"사실대로 말하면, 어제 숙제를 못 했어요.",sa.sil.tɛ.ɾo mal.ha.mjʌn ʌ.tɕe suk̚.tɕe.ɾɯl mot̚ hɛt̚.ʌ.jo,"To be honest, I couldn't do my homework yesterday.",Used before statements to emphasize truth; often followed by 'malhamyeon' in spoken contexts,3655,174,True,Accurate and comprehensive,False,True,1664,2406,
3656,않습니까,an.sɯp̚.ni.k͈a,verb,2,don't...?,이거 좋지 않습니까?,i.kʌ tɕot̚.tɕi an.sɯp̚.ni.k͈a,Isn't this good?,Polite formal negative question ending used to ask 'isn't/aren't...?',3656,174,True,High quality: accurate and common usage,False,True,640,1378,
3657,뜨거운,t͈ɯ.kʌ.un,adjective,4,hot,뜨거운 물을 조심하세요.,t͈ɯ.kʌ.un mul.ɯl tɕo.sim.ha.se.jo,Be careful with the hot water.,"Used to modify nouns, indicating high temperature; common in everyday speech and writing.",3657,174,True,Analysis correctly identifies the adjective and provides an appropriate example.,False,True,1216,1953,
3658,멋지네요,mʌt̚.tɕi.ne.jo,adjective,3,cool,오늘 너 옷이 정말 멋지네요.,o.nɯl nʌ ot̚.i tɕʌŋ.mal mʌt̚.tɕi.ne.jo,Your outfit looks really cool today.,Polite sentence-ending form of 멋지다 to express admiration in everyday speech.,3658,174,True,Accurate and clear analysis.,False,True,960,1703,
3659,같고,kat̚.ko,adjective,2,same and,이 두 색깔은 같고 밝기도 비슷해요.,i tu sɛk̚.k͈al.ɯn kat̚.ko pak̚.ki.to pi.sɯt̚.hɛ.jo,These two colors are the same and their brightness is similar.,"Connective form of 같다 (to be the same), used to join clauses in neutral speech.",3659,174,True,Clear definition with appropriate example.,False,True,1600,2334,
3660,오버,o.pʌ,noun,4,exaggeration,그 배우는 너무 오버한다.,kɯ pɛ.u.nɯn nʌ.mu o.pʌ.han.ta,That actor is too over the top.,Informal spoken usage to describe overreacting or being theatrical in casual conversation.,3660,174,True,Accurate and clear entry with appropriate example.,False,True,896,1618,
3661,상황에서,saŋ.hwaŋ.e.sʌ,noun,4,in situation,어려운 상황에서 도움을 요청하세요.,ʌ.ɾjʌ.un saŋ.hwaŋ.e.sʌ to.um.ɯl jo.tɕʰʌŋ.ha.se.jo,"In difficult situations, please ask for help.",Combines the noun situation with the locative particle to indicate context or circumstances; neutral register,3661,174,True,"Clear entry with accurate IPA, definition, and example",False,True,1984,2725,
3662,편히,pʰjʌn.hi,adverb,4,comfortably,여기서 편히 쉬세요.,jʌ.ki.sʌ pʰjʌn.hi swi.se.jo,Please rest comfortably here.,"Adverb meaning 'comfortably', often used with verbs like 쉬다 or 지내다; suitable in both formal and informal contexts.",3662,174,True,Accurate phonetic transcription and word type identification; example sentence is appropriate and clear.,False,True,1024,1772,
3663,말해도,mal.hɛ.to,verb,3,even if,말해도 소용없어요.,mal.hɛ.to so.joŋ.ʌp̚.ʌ.jo,"Even if I say it, it's useless.","Concessive clause ending (verb stem + -아/어도), used to express 'even if' in everyday speech and writing.",3663,174,True,"High quality, accurate analysis",False,True,896,1628,
3664,좋겠네,tɕot̚.ket̚.ne,adjective,4,would be nice,오늘 비가 안 오면 좋겠네.,o.nɯl pi.ka an o.mjʌn tɕot̚.ket̚.ne,It would be nice if it doesn't rain today.,"Expresses a hopeful desire in casual spoken Korean, with '겠' for speculation and '네' for mild exclamation",3664,173,True,Clear definition and natural example use,False,True,1344,2094,
3665,때문이다,t͈ɛ.mun.i.ta,particle,4,because of,비 때문에 우산을 썼다.,pi t͈ɛ.mun.e u.san.ɯl s͈ʌt̚.ta,I used an umbrella because of the rain.,Used after nouns to indicate cause or reason; neutral form common in spoken and written Korean.,3665,173,True,High-quality analysis,False,True,960,1690,
3666,파트너,pʰa.tʰɯ.nʌ,noun,4,partner,그는 내 파트너예요.,kɯ.nɯn nɛ pʰa.tʰɯ.nʌ.je.jo,He is my partner.,"Loanword from English, used to refer to business or romantic partners in both formal and informal contexts",3666,173,True,High quality: accurately captures common usage and pronunciation,False,True,896,1637,
3667,존재하지,tɕon.tɕɛ.ha.tɕi,verb,5,not exist,이런 종류의 동물은 실제로 존재하지 않는다.,i.ɾʌn tɕoŋ.ɾju.ɰi toŋ.mul.ɯn sil.tɕe.ɾo tɕon.tɕɛ.ha.tɕi an.nɯn.ta,This kind of animal does not actually exist.,"Negative verb form of 존재하다 used with 않다 to express 'not exist', common in formal or written Korean.",3667,173,True,Accurate and clear analysis.,False,True,2304,3061,
3668,감시,kam.si,noun,4,surveillance,경찰은 범죄 예방을 위해 감시 카메라를 설치했다.,kjʌŋ.tɕʰal.ɯn pʌm.tɕwe je.paŋ.ɯl wi.hɛ kam.si kʰa.me.ɾa.ɾɯl sʌl.tɕʰi.hɛt̚.ta,The police installed surveillance cameras to prevent crime.,"Used in formal or official contexts to refer to monitoring activities, often involving cameras or guards.",3668,173,True,High quality: precise definition and illustrative example,False,True,1024,1756,
3669,공,koŋ,noun,4,ball,아이들은 공을 가지고 놀고 있다.,a.i.tɯl.ɯn koŋ.ɯl ka.tɕi.ko nol.ko it̚.ta,The children are playing with a ball.,Commonly used to refer to spherical objects in sports and games; often appears with 을/를.,3669,173,True,Accurate and common usage,False,True,704,1420,
3670,돕는,top̚.nɯn,verb,2,helping,나는 어려운 사람을 돕는 것을 좋아해요.,na.nɯn ʌ.ɾjʌ.un sa.ɾam.ɯl top̚.nɯn kʌt̚.ɯl tɕot̚.a.hɛ.jo,I like helping people in need.,"Attributive (present) form of the verb 돕다 used to modify nouns or nominalized clauses, common in both formal and casual contexts.",3670,173,True,Accurate analysis of phonetics and usage for the attributive verb form.,False,True,1088,1841,
3671,것이오,kʌt̚.i.o,verb,6,is,이것이오?,i.kʌt̚.i.o,Is this it?,"Formal literary copula ending, archaic in modern speech",3671,173,True,"Appropriate archaic formal usage, rarely used in modern spoken Korean",False,True,1408,2130,
3672,클리어,kʰɯl.ɾi.ʌ,noun,4,completion,저는 첫 스테이지 클리어에 성공했어요.,tɕʌ.nɯn tɕʰʌt̚ sɯ.tʰe.i.tɕi kʰɯl.ɾi.ʌ.e sʌŋ.koŋ.hɛt̚.ʌ.jo,I succeeded in clearing the first stage.,"Common in gaming contexts to mean completion of a level, often used with 하다 to form a verb.",3672,173,True,Accurate representation of modern gaming loanword usage.,False,True,1152,1904,
3673,위,wi,noun,4,top,책상 위에 책이 있어요.,tɕʰɛk̚.saŋ wi.e tɕʰɛk̚.i it̚.ʌ.jo,There is a book on the desk.,"Used as a location noun to indicate position above something, commonly used with the particle 에.",3673,173,True,Clear and accurate entry with appropriate example.,False,True,1408,2122,
3674,누구시죠,nu.ku.si.tɕjo,pronoun,1,who is it,"여보세요, 누구시죠?",jʌ.po.se.jo nu.ku.si.tɕjo,"Hello, who is this?","Honorific polite form used to ask someone's identity, often on the phone or in formal settings.",3674,173,True,Clear and accurate,False,True,1856,2589,
3675,앞으로도,ap̚.ɯ.ɾo.to,adverb,3,in the future,앞으로도 열심히 공부할 거예요.,ap̚.ɯ.ɾo.to jʌl.sim.hi koŋ.pu.hal kʌ.je.jo,I will continue to study hard in the future.,"Used to indicate continuation into the future, common in both formal and informal contexts",3675,173,True,clear and accurate,False,True,1088,1826,
3676,올리버,ol.ɾi.pʌ,noun,4,Oliver,올리버는 내 친구입니다.,ol.ɾi.pʌ.nɯn nɛ tɕʰin.ku.ip̚.ni.ta,Oliver is my friend.,"Proper noun transliteration of the English name 'Oliver', used with Korean particles for grammar.",3676,173,True,Accurate and complete,False,True,1152,1874,
3677,홀로,hol.ɾo,adverb,4,alone,그는 홀로 집에 남았다.,kɯ.nɯn hol.ɾo tɕip̚.e nam.at̚.ta,He stayed at home alone.,"Literary/formal adverb meaning 'alone', often used in writing or formal speech",3677,173,True,Accurate and concise entry,False,True,768,1489,
3678,신이시여,sin.i.si.jʌ,noun,4,O God,"신이시여, 저희를 도와주소서.",sin.i.si.jʌ tɕʌ.hɰi.ɾɯl to.wa.tɕu.so.sʌ,"O God, help us.","Archaic or religious invocation, vocative form addressing God",3678,173,True,Accurate analysis of an archaic vocative expression,False,True,1152,1888,
3679,그래서요,kɯ.ɾɛ.sʌ.jo,adverb,2,so,시간이 없어요. 그래서요?,si.kan.i ʌp̚.ʌ.jo kɯ.ɾɛ.sʌ.jo,I don't have time. So?,Polite form of 그래서 used to prompt further explanation or response,3679,173,True,Accurate and concise analysis,False,True,1664,2396,
3680,왜그래,wɛ.kɯ.ɾɛ,verb,1,why,왜그래? 괜찮아?,wɛ.kɯ.ɾɛ kwɛn.tɕʰan.a,Why are you like that? Are you okay?,Casual spoken question asking why someone is acting a certain way,3680,173,True,Common casual spoken phrase; informal register,False,True,1408,2140,
3681,덕에,tʌk̚.e,particle,4,thanks to,선생님 덕에 한국어 실력이 많이 늘었어요.,sʌn.sɛŋ.nim tʌk̚.e han.kuk̚.ʌ sil.ɾjʌk̚.i man.i nɯl.ʌt̚.ʌ.jo,"Thanks to my teacher, my Korean skills have improved a lot.","Used after nouns to indicate cause or reason meaning 'thanks to' or 'due to', often expressing positive appreciation in colloquial and written contexts.",3681,173,True,"Entry is accurate, with correct IPA notation and natural example sentence.",False,True,1472,2230,
3682,상대가,saŋ.tɛ.ka,noun,4,opponent,상대가 너무 강해요.,saŋ.tɛ.ka nʌ.mu kaŋ.hɛ.jo,The opponent is too strong.,"Used with subject marker 가 to indicate the opponent in competitive contexts (e.g., sports, games).",3682,173,True,Clear and concise entry with appropriate example.,False,True,1088,1817,
3683,그쵸,kɯ.tɕʰjo,particle,4,right,"이 영화 정말 재미있었어, 그쵸?",i jʌŋ.hwa tɕʌŋ.mal tɕɛ.mi.it̚.ʌt̚.ʌ kɯ.tɕʰjo,"That movie was really fun, right?",Casual spoken tag question contracting 그렇지? used for confirmation in conversation,3683,173,True,Accurate and meets frequency-based definition rules,False,True,896,1636,
3684,아시겠죠,a.si.ket̚.tɕjo,verb,4,understand,제가 무슨 말을 하는지 아시겠죠?,tɕe.ka mu.sɯn mal.ɯl ha.nɯn.tɕi a.si.ket̚.tɕjo,"You understand what I'm saying, right?","Honorific polite sentence ending used to ask or confirm understanding, expressing assumption or seeking agreement",3684,173,True,"High quality: accurate IPA, correct part of speech, and clear example",False,True,2048,2803,
3685,위험,wi.hʌm,noun,4,danger,도로 위에서는 교통사고의 위험이 있으니 주의하세요.,to.ɾo wi.e.sʌ.nɯn kjo.tʰoŋ.sa.ko.ɰi wi.hʌm.i it̚.ɯ.ni tɕu.ɰi.ha.se.jo,"There is a danger of traffic accidents on the road, so please be careful.",Often used with 있다 to express the presence of danger; common in both formal and informal contexts.,3685,173,True,Accurate and concise analysis,False,True,960,1697,
3686,나라면,na.ɾa.mjʌn,particle,4,if I were,나라면 그렇게 하지 않을 거야,na.ɾa.mjʌn kɯ.ɾʌt̚.ke ha.tɕi an.ɯl kʌ.ja,"If it were me, I wouldn't do that","Conditional form of the pronoun 나 (I), used in casual speech to express hypothetical situations",3686,173,True,Clear and accurate analysis with relevant example,False,True,1344,2082,
3687,인턴,in.tʰʌn,noun,4,intern,저는 회사에서 인턴으로 일하고 있습니다.,tɕʌ.nɯn hwe.sa.e.sʌ in.tʰʌn.ɯ.ɾo il.ha.ko it̚.sɯp̚.ni.ta,I am working as an intern at a company.,"Refers to a person undergoing internship, commonly used in professional and educational contexts",3687,173,True,Accurate representation of pronunciation and usage,False,True,576,1306,
3688,그럴거야,kɯ.ɾʌl.kʌ.ja,verb,4,will be so,내일 비가 올까? 그럴거야.,nɛ.il pi.ka ol.k͈a kɯ.ɾʌl.kʌ.ja,Will it rain tomorrow? It will be so.,Informal spoken contraction of '그럴 것이야' expressing assumption about a future event.,3688,173,True,Accurate representation of casual speech usage.,False,True,1664,2417,
3689,거였어요,kʌ.jʌt̚.ʌ.jo,verb,4,was,이거 제가 찾던 거였어요.,i.kʌ tɕe.ka tɕʰat̚.tʌn kʌ.jʌt̚.ʌ.jo,This was what I was looking for.,"Polite past tense copula form of '거예요', used to indicate 'it was ...' in polite speech",3689,173,True,Accurate usage and clear example,False,True,1920,2670,
3690,서둘러요,sʌ.tul.ɾʌ.jo,verb,3,hurry,학교에 늦지 않으려고 서둘러요.,hak̚.kjo.e nɯt̚.tɕi an.ɯ.ɾjʌ.ko sʌ.tul.ɾʌ.jo,I'm hurrying so I won't be late for school.,"Polite present form of 서두르다, used in everyday conversation.",3690,173,True,Accurate definition and appropriate usage context.,False,True,1600,2347,
3691,님,nim,noun,4,honorific title,"고객님, 계산서 여기 있습니다.",ko.kɛk̚.nim kje.san.sʌ jʌ.ki it̚.sɯp̚.ni.ta,"Customer, here is the bill.","Honorific suffix attached to nouns to show respect, used in formal and polite contexts",3691,173,True,Accurate and clear analysis of common usage,False,True,896,1616,
3692,병,pjʌŋ,noun,4,disease,그는 심각한 병에 걸렸다.,kɯ.nɯn sim.kak̚.han pjʌŋ.e kʌl.ɾjʌt̚.ta,He has a serious illness.,Used to refer to illness or disease in medical or everyday contexts.,3692,173,True,Accurate and concise.,False,True,1152,1864,
3693,점이,tɕʌm.i,noun,4,point,시험에서 90점이 나왔어요.,si.hʌm.e.sʌ tɕʌm.i na.wat̚.ʌ.jo,I got 90 points on the exam.,"Used as the subject form of the noun meaning point, common in scoring contexts",3693,173,True,Clear and accurate,False,True,1408,2131,
